id,archetype_id,archetype_name
381,2,Latino First-Gen Striver
382,3,Asian High-Pressure Achiever
383,1,Latina Commuter Caretaker
384,3,Asian High-Pressure Achiever
385,2,Latino First-Gen Striver
386,1,Latina Commuter Caretaker
387,6,White Residential Traditional
388,8,Multiracial Bridge-Builder
389,6,White Residential Traditional
390,2,Latino First-Gen Striver
391,1,Latina Commuter Caretaker
392,1,Latina Commuter Caretaker
393,7,White Commuter Working
394,10,Continuing-Gen Cruiser
395,6,White Residential Traditional
396,10,Continuing-Gen Cruiser
397,1,Latina Commuter Caretaker
398,1,Latina Commuter Caretaker
399,10,Continuing-Gen Cruiser
400,4,Asian First-Gen Navigator
401,1,Latina Commuter Caretaker
402,4,Asian First-Gen Navigator
403,6,White Residential Traditional
404,10,Continuing-Gen Cruiser
405,9,Hispanic On-Campus Transitioner
406,3,Asian High-Pressure Achiever
407,5,Black Campus Connector
408,10,Continuing-Gen Cruiser
409,2,Latino First-Gen Striver
410,1,Latina Commuter Caretaker
411,10,Continuing-Gen Cruiser
412,1,Latina Commuter Caretaker
413,9,Hispanic On-Campus Transitioner
414,1,Latina Commuter Caretaker
415,9,Hispanic On-Campus Transitioner
416,10,Continuing-Gen Cruiser
417,8,Multiracial Bridge-Builder
418,10,Continuing-Gen Cruiser
419,2,Latino First-Gen Striver
420,4,Asian First-Gen Navigator
421,2,Latino First-Gen Striver
422,10,Continuing-Gen Cruiser
423,1,Latina Commuter Caretaker
424,4,Asian First-Gen Navigator
425,1,Latina Commuter Caretaker
426,1,Latina Commuter Caretaker
427,5,Black Campus Connector
428,2,Latino First-Gen Striver
429,6,White Residential Traditional
430,6,White Residential Traditional
431,6,White Residential Traditional
432,8,Multiracial Bridge-Builder
433,1,Latina Commuter Caretaker
434,2,Latino First-Gen Striver
435,10,Continuing-Gen Cruiser
436,9,Hispanic On-Campus Transitioner
437,3,Asian High-Pressure Achiever
438,2,Latino First-Gen Striver
439,1,Latina Commuter Caretaker
440,1,Latina Commuter Caretaker
441,4,Asian First-Gen Navigator
442,7,White Commuter Working
443,5,Black Campus Connector
444,9,Hispanic On-Campus Transitioner
445,4,Asian First-Gen Navigator
446,3,Asian High-Pressure Achiever
447,1,Latina Commuter Caretaker
448,10,Continuing-Gen Cruiser
449,8,Multiracial Bridge-Builder
450,8,Multiracial Bridge-Builder
451,10,Continuing-Gen Cruiser
452,1,Latina Commuter Caretaker
453,10,Continuing-Gen Cruiser
454,9,Hispanic On-Campus Transitioner
455,10,Continuing-Gen Cruiser
456,10,Continuing-Gen Cruiser
457,10,Continuing-Gen Cruiser
458,10,Continuing-Gen Cruiser
459,8,Multiracial Bridge-Builder
460,6,White Residential Traditional
461,2,Latino First-Gen Striver
462,1,Latina Commuter Caretaker
463,7,White Commuter Working
464,10,Continuing-Gen Cruiser
465,7,White Commuter Working
466,9,Hispanic On-Campus Transitioner
467,10,Continuing-Gen Cruiser
468,8,Multiracial Bridge-Builder
469,2,Latino First-Gen Striver
470,1,Latina Commuter Caretaker
471,9,Hispanic On-Campus Transitioner
472,10,Continuing-Gen Cruiser
473,2,Latino First-Gen Striver
474,6,White Residential Traditional
475,2,Latino First-Gen Striver
476,5,Black Campus Connector
477,9,Hispanic On-Campus Transitioner
478,1,Latina Commuter Caretaker
479,9,Hispanic On-Campus Transitioner
480,3,Asian High-Pressure Achiever
481,2,Latino First-Gen Striver
482,6,White Residential Traditional
483,10,Continuing-Gen Cruiser
484,10,Continuing-Gen Cruiser
485,4,Asian First-Gen Navigator
486,2,Latino First-Gen Striver
487,1,Latina Commuter Caretaker
488,10,Continuing-Gen Cruiser
489,10,Continuing-Gen Cruiser
490,1,Latina Commuter Caretaker
491,10,Continuing-Gen Cruiser
492,10,Continuing-Gen Cruiser
493,7,White Commuter Working
494,10,Continuing-Gen Cruiser
495,1,Latina Commuter Caretaker
496,9,Hispanic On-Campus Transitioner
497,1,Latina Commuter Caretaker
498,9,Hispanic On-Campus Transitioner
499,10,Continuing-Gen Cruiser
500,10,Continuing-Gen Cruiser
501,1,Latina Commuter Caretaker
502,10,Continuing-Gen Cruiser
503,2,Latino First-Gen Striver
504,10,Continuing-Gen Cruiser
505,9,Hispanic On-Campus Transitioner
506,6,White Residential Traditional
507,8,Multiracial Bridge-Builder
508,10,Continuing-Gen Cruiser
509,5,Black Campus Connector
510,6,White Residential Traditional
511,2,Latino First-Gen Striver
512,3,Asian High-Pressure Achiever
513,2,Latino First-Gen Striver
514,9,Hispanic On-Campus Transitioner
515,1,Latina Commuter Caretaker
516,1,Latina Commuter Caretaker
517,1,Latina Commuter Caretaker
518,2,Latino First-Gen Striver
519,2,Latino First-Gen Striver
520,1,Latina Commuter Caretaker
521,4,Asian First-Gen Navigator
522,10,Continuing-Gen Cruiser
523,4,Asian First-Gen Navigator
524,8,Multiracial Bridge-Builder
525,6,White Residential Traditional
526,3,Asian High-Pressure Achiever
527,10,Continuing-Gen Cruiser
528,4,Asian First-Gen Navigator
529,2,Latino First-Gen Striver
530,2,Latino First-Gen Striver
531,7,White Commuter Working
532,3,Asian High-Pressure Achiever
533,7,White Commuter Working
534,2,Latino First-Gen Striver
535,3,Asian High-Pressure Achiever
536,8,Multiracial Bridge-Builder
537,8,Multiracial Bridge-Builder
538,6,White Residential Traditional
539,10,Continuing-Gen Cruiser
540,9,Hispanic On-Campus Transitioner
541,1,Latina Commuter Caretaker
542,6,White Residential Traditional
543,1,Latina Commuter Caretaker
544,1,Latina Commuter Caretaker
545,3,Asian High-Pressure Achiever
546,1,Latina Commuter Caretaker
547,3,Asian High-Pressure Achiever
548,10,Continuing-Gen Cruiser
549,2,Latino First-Gen Striver
550,10,Continuing-Gen Cruiser
551,1,Latina Commuter Caretaker
552,9,Hispanic On-Campus Transitioner
553,2,Latino First-Gen Striver
554,5,Black Campus Connector
555,10,Continuing-Gen Cruiser
556,3,Asian High-Pressure Achiever
557,1,Latina Commuter Caretaker
558,9,Hispanic On-Campus Transitioner
559,10,Continuing-Gen Cruiser
560,1,Latina Commuter Caretaker
561,8,Multiracial Bridge-Builder
562,10,Continuing-Gen Cruiser
563,7,White Commuter Working
564,10,Continuing-Gen Cruiser
565,8,Multiracial Bridge-Builder
566,10,Continuing-Gen Cruiser
567,7,White Commuter Working
568,8,Multiracial Bridge-Builder
569,1,Latina Commuter Caretaker
570,10,Continuing-Gen Cruiser
571,5,Black Campus Connector
572,4,Asian First-Gen Navigator
573,9,Hispanic On-Campus Transitioner
574,10,Continuing-Gen Cruiser
575,4,Asian First-Gen Navigator
576,7,White Commuter Working
577,2,Latino First-Gen Striver
578,1,Latina Commuter Caretaker
579,1,Latina Commuter Caretaker
580,9,Hispanic On-Campus Transitioner
581,2,Latino First-Gen Striver
582,2,Latino First-Gen Striver
583,10,Continuing-Gen Cruiser
584,6,White Residential Traditional
585,10,Continuing-Gen Cruiser
586,8,Multiracial Bridge-Builder
587,2,Latino First-Gen Striver
588,3,Asian High-Pressure Achiever
589,2,Latino First-Gen Striver
590,1,Latina Commuter Caretaker
591,1,Latina Commuter Caretaker
592,10,Continuing-Gen Cruiser
593,7,White Commuter Working
594,10,Continuing-Gen Cruiser
595,10,Continuing-Gen Cruiser
596,10,Continuing-Gen Cruiser
597,10,Continuing-Gen Cruiser
598,8,Multiracial Bridge-Builder
599,10,Continuing-Gen Cruiser
600,2,Latino First-Gen Striver
601,6,White Residential Traditional
602,3,Asian High-Pressure Achiever
603,4,Asian First-Gen Navigator
604,4,Asian First-Gen Navigator
605,1,Latina Commuter Caretaker
606,5,Black Campus Connector
607,1,Latina Commuter Caretaker
608,10,Continuing-Gen Cruiser
609,2,Latino First-Gen Striver
610,9,Hispanic On-Campus Transitioner
611,2,Latino First-Gen Striver
612,1,Latina Commuter Caretaker
613,2,Latino First-Gen Striver
614,8,Multiracial Bridge-Builder
615,8,Multiracial Bridge-Builder
616,9,Hispanic On-Campus Transitioner
617,10,Continuing-Gen Cruiser
618,6,White Residential Traditional
619,10,Continuing-Gen Cruiser
620,6,White Residential Traditional
621,3,Asian High-Pressure Achiever
622,10,Continuing-Gen Cruiser
623,10,Continuing-Gen Cruiser
624,1,Latina Commuter Caretaker
625,1,Latina Commuter Caretaker
626,1,Latina Commuter Caretaker
627,8,Multiracial Bridge-Builder
628,6,White Residential Traditional
629,8,Multiracial Bridge-Builder
630,10,Continuing-Gen Cruiser
631,7,White Commuter Working
632,9,Hispanic On-Campus Transitioner
633,5,Black Campus Connector
634,6,White Residential Traditional
635,6,White Residential Traditional
636,8,Multiracial Bridge-Builder
637,1,Latina Commuter Caretaker
638,5,Black Campus Connector
639,10,Continuing-Gen Cruiser
640,10,Continuing-Gen Cruiser
641,10,Continuing-Gen Cruiser
642,10,Continuing-Gen Cruiser
643,3,Asian High-Pressure Achiever
644,10,Continuing-Gen Cruiser
645,8,Multiracial Bridge-Builder
646,8,Multiracial Bridge-Builder
647,3,Asian High-Pressure Achiever
648,1,Latina Commuter Caretaker
649,6,White Residential Traditional
650,10,Continuing-Gen Cruiser
651,2,Latino First-Gen Striver
652,9,Hispanic On-Campus Transitioner
653,3,Asian High-Pressure Achiever
654,1,Latina Commuter Caretaker
655,2,Latino First-Gen Striver
656,10,Continuing-Gen Cruiser
657,3,Asian High-Pressure Achiever
658,2,Latino First-Gen Striver
659,10,Continuing-Gen Cruiser
660,4,Asian First-Gen Navigator
661,2,Latino First-Gen Striver
662,2,Latino First-Gen Striver
663,3,Asian High-Pressure Achiever
664,9,Hispanic On-Campus Transitioner
665,1,Latina Commuter Caretaker
666,10,Continuing-Gen Cruiser
667,10,Continuing-Gen Cruiser
668,6,White Residential Traditional
669,7,White Commuter Working
670,10,Continuing-Gen Cruiser
671,10,Continuing-Gen Cruiser
672,10,Continuing-Gen Cruiser
673,7,White Commuter Working
674,2,Latino First-Gen Striver
675,10,Continuing-Gen Cruiser
676,3,Asian High-Pressure Achiever
677,2,Latino First-Gen Striver
678,10,Continuing-Gen Cruiser
679,3,Asian High-Pressure Achiever
680,5,Black Campus Connector
681,10,Continuing-Gen Cruiser
682,10,Continuing-Gen Cruiser
683,10,Continuing-Gen Cruiser
684,10,Continuing-Gen Cruiser
685,7,White Commuter Working
686,7,White Commuter Working
687,1,Latina Commuter Caretaker
688,3,Asian High-Pressure Achiever
689,10,Continuing-Gen Cruiser
690,10,Continuing-Gen Cruiser
691,9,Hispanic On-Campus Transitioner
692,2,Latino First-Gen Striver
693,3,Asian High-Pressure Achiever
694,10,Continuing-Gen Cruiser
695,10,Continuing-Gen Cruiser
696,2,Latino First-Gen Striver
697,10,Continuing-Gen Cruiser
698,10,Continuing-Gen Cruiser
699,6,White Residential Traditional
700,1,Latina Commuter Caretaker
701,9,Hispanic On-Campus Transitioner
702,1,Latina Commuter Caretaker
703,2,Latino First-Gen Striver
704,6,White Residential Traditional
705,1,Latina Commuter Caretaker
706,10,Continuing-Gen Cruiser
707,10,Continuing-Gen Cruiser
708,8,Multiracial Bridge-Builder
709,1,Latina Commuter Caretaker
710,10,Continuing-Gen Cruiser
711,5,Black Campus Connector
712,10,Continuing-Gen Cruiser
713,2,Latino First-Gen Striver
714,2,Latino First-Gen Striver
715,2,Latino First-Gen Striver
716,1,Latina Commuter Caretaker
717,1,Latina Commuter Caretaker
718,3,Asian High-Pressure Achiever
719,10,Continuing-Gen Cruiser
720,8,Multiracial Bridge-Builder
721,5,Black Campus Connector
722,2,Latino First-Gen Striver
723,2,Latino First-Gen Striver
724,10,Continuing-Gen Cruiser
725,6,White Residential Traditional
726,8,Multiracial Bridge-Builder
727,10,Continuing-Gen Cruiser
728,8,Multiracial Bridge-Builder
729,2,Latino First-Gen Striver
730,10,Continuing-Gen Cruiser
731,10,Continuing-Gen Cruiser
732,1,Latina Commuter Caretaker
733,1,Latina Commuter Caretaker
734,10,Continuing-Gen Cruiser
735,6,White Residential Traditional
736,6,White Residential Traditional
737,4,Asian First-Gen Navigator
738,10,Continuing-Gen Cruiser
739,10,Continuing-Gen Cruiser
740,2,Latino First-Gen Striver
741,10,Continuing-Gen Cruiser
742,9,Hispanic On-Campus Transitioner
743,6,White Residential Traditional
744,2,Latino First-Gen Striver
745,2,Latino First-Gen Striver
746,1,Latina Commuter Caretaker
747,1,Latina Commuter Caretaker
748,9,Hispanic On-Campus Transitioner
749,5,Black Campus Connector
750,1,Latina Commuter Caretaker
751,2,Latino First-Gen Striver
752,10,Continuing-Gen Cruiser
753,5,Black Campus Connector
754,6,White Residential Traditional
755,9,Hispanic On-Campus Transitioner
756,7,White Commuter Working
757,1,Latina Commuter Caretaker
758,10,Continuing-Gen Cruiser
759,6,White Residential Traditional
760,4,Asian First-Gen Navigator
761,1,Latina Commuter Caretaker
762,9,Hispanic On-Campus Transitioner
763,4,Asian First-Gen Navigator
764,3,Asian High-Pressure Achiever
765,3,Asian High-Pressure Achiever
766,8,Multiracial Bridge-Builder
767,1,Latina Commuter Caretaker
768,10,Continuing-Gen Cruiser
769,6,White Residential Traditional
770,1,Latina Commuter Caretaker
771,6,White Residential Traditional
772,6,White Residential Traditional
773,8,Multiracial Bridge-Builder
774,2,Latino First-Gen Striver
775,6,White Residential Traditional
776,7,White Commuter Working
777,4,Asian First-Gen Navigator
778,9,Hispanic On-Campus Transitioner
779,1,Latina Commuter Caretaker
780,1,Latina Commuter Caretaker
781,2,Latino First-Gen Striver
782,3,Asian High-Pressure Achiever
783,10,Continuing-Gen Cruiser
784,2,Latino First-Gen Striver
785,3,Asian High-Pressure Achiever
786,8,Multiracial Bridge-Builder
787,10,Continuing-Gen Cruiser
788,4,Asian First-Gen Navigator
789,3,Asian High-Pressure Achiever
790,6,White Residential Traditional
791,3,Asian High-Pressure Achiever
792,4,Asian First-Gen Navigator
793,3,Asian High-Pressure Achiever
794,7,White Commuter Working
795,1,Latina Commuter Caretaker
796,1,Latina Commuter Caretaker
797,6,White Residential Traditional
798,10,Continuing-Gen Cruiser
799,2,Latino First-Gen Striver
800,9,Hispanic On-Campus Transitioner
801,3,Asian High-Pressure Achiever
802,4,Asian First-Gen Navigator
803,3,Asian High-Pressure Achiever
804,10,Continuing-Gen Cruiser
805,3,Asian High-Pressure Achiever
806,10,Continuing-Gen Cruiser
807,10,Continuing-Gen Cruiser
808,7,White Commuter Working
809,7,White Commuter Working
810,10,Continuing-Gen Cruiser
811,10,Continuing-Gen Cruiser
812,1,Latina Commuter Caretaker
813,1,Latina Commuter Caretaker
814,1,Latina Commuter Caretaker
815,3,Asian High-Pressure Achiever
816,10,Continuing-Gen Cruiser
817,1,Latina Commuter Caretaker
818,10,Continuing-Gen Cruiser
819,3,Asian High-Pressure Achiever
820,10,Continuing-Gen Cruiser
821,3,Asian High-Pressure Achiever
822,6,White Residential Traditional
823,10,Continuing-Gen Cruiser
824,4,Asian First-Gen Navigator
825,2,Latino First-Gen Striver
826,6,White Residential Traditional
827,2,Latino First-Gen Striver
828,3,Asian High-Pressure Achiever
829,1,Latina Commuter Caretaker
830,9,Hispanic On-Campus Transitioner
831,1,Latina Commuter Caretaker
