"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","hacadpr13","hacadpr13_num","hacadpr13_num_c","tcare","tcare_num","tcare_num_c","firstgen","re_all","living18","sex","StemMaj","StemMaj_c","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
0,6,-0.522253981216823,7,7,0.959116925592805,1,0,0,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,30,1,1.8,1.25274,1.25274,-14,-1.9,-0.9,3,4,3,2,3,3,3,2,3,2,2,2,3,3,3,4,4,4,4,4,NA,5,4,4,4,5,3,2,1,3,11,2,5,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,6,-0.522253981216823,7,5,-1.0408830744072,1,0,0,6,1.50173363246992,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,1,"Asian","Off-campus (rent/apartment)","Female",1,0.7598,2,0,-1,-1.54726,0,14,0.9,1.9,3,NA,3,3,3,4,3,4,3,3,2,3,3,2,3,4,4,3,4,3,NA,4,4,4,4,4,2,2,2,1,12,1,3,1,4,"Asian First-Gen Navigator","non_FASt_1_11"
1,5,-1.52225398121682,7,6,-0.0408830744071951,1,0,0,NA,NA,1,-1.31734693877551,4,13,2.8078,2,3,0.4952,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,2,0,-1,-1.54726,0,31,2.6,3.6,1,1,1,3,4,3,4,3,3,2,1,2,2,3,3,6,6,6,6,5,6,4,4,NA,3,4,1,3,2,3,13,1,3,1,2,"Latino Off-Campus Working","non_FASt_1_11"
1,7,0.477746018783177,7,6,-0.0408830744071951,0,1,1,7,2.50173363246992,2,-0.31734693877551,2,3,-7.1922,2,3,0.4952,0,"Asian","With family (commuting)","Male",0,-0.2402,26,1,1.4,0.852739999999996,0.852739999999996,-5,-1,0,4,4,4,3,3,4,4,4,2,3,3,3,2,4,4,3,NA,2,2,2,4,6,6,6,6,6,2,3,2,3,14,2,4,1,10,"Continuing-Gen Cruiser","FASt_12plus"
1,5,-1.52225398121682,7,8,1.9591169255928,0,1,1,4,-0.498266367530084,2,-0.31734693877551,3,8,-2.1922,7,28,25.4952,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2402,6,0,-0.6,-1.14726,0,-7,-1.2,-0.2,4,NA,4,4,4,3,3,4,4,3,4,4,3,3,3,3,NA,3,4,3,3,6,6,6,6,6,2,1,3,2,15,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.477746018783177,7,6,-0.0408830744071951,1,0,0,5,0.501733632469916,2,-0.31734693877551,3,8,-2.1922,2,3,0.4952,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,-6,-1.1,-0.1,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,5,5,5,5,6,6,NA,6,6,6,6,2,3,2,1,16,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.477746018783177,7,7,0.959116925592805,0,0,0,5,0.501733632469916,3,0.68265306122449,4,13,2.8078,1,0,-2.5048,0,"Asian","With family (commuting)","Female",1,0.7598,39,1,2.7,2.15274,2.15274,-5,-1,0,3,3,3,3,4,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,4,4,4,4,4,3,2,3,2,17,2,7,1,10,"Continuing-Gen Cruiser","FASt_12plus"
0,8,1.47774601878318,7,5,-1.0408830744072,1,0,1,5,0.501733632469916,1,-1.31734693877551,4,13,2.8078,3,8,5.4952,0,"Hispanic/Latino","On-campus (residence hall)","Male",1,0.7598,46,1,3.4,2.85274,2.85274,-9,-1.4,-0.4,3,3,3,2,3,2,3,2,2,2,3,2,2,2,2,4,4,4,4,4,4,5,6,5,6,5,1,2,3,2,18,2,5,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,6,-0.522253981216823,6,7,0.959116925592805,0,0,0,3,-1.49826636753008,2,-0.31734693877551,2,3,-7.1922,8,35,32.4952,0,"White","Off-campus (rent/apartment)","Male",1,0.7598,3,0,-0.9,-1.44726,0,-12,-1.7,-0.7,2,2,2,3,1,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,5,4,4,4,4,2,1,3,2,19,1,3,1,13,"White Working-Class Striver","non_FASt_1_11"
1,6,-0.522253981216823,7,7,0.959116925592805,1,0,0,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,5,18,15.4952,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,11,0,-0.1,-0.647260000000004,0,5,0,1,2,3,2,3,4,3,4,4,3,3,3,3,4,3,3,2,2,2,2,2,2,5,4,5,4,5,3,4,2,2,20,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11"
1,7,0.477746018783177,7,5,-1.0408830744072,0,NA,0,6,1.50173363246992,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,72,1,6,5.45274,5.45274,-13,-1.8,-0.8,2,3,2,3,2,3,3,3,2,3,2,2,2,2,2,5,5,5,5,NA,5,4,4,4,4,4,3,2,1,2,21,2,5,1,2,"Latino Off-Campus Working","FASt_12plus"
0,7,0.477746018783177,7,6,-0.0408830744071951,0,0,0,3,-1.49826636753008,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,8,0,-0.4,-0.947260000000004,0,5,0,1,NA,2,2,3,4,2,3,3,3,2,3,2,3,3,3,4,4,4,4,4,5,3,4,4,4,4,3,1,3,4,22,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,6,-0.522253981216823,7,6,-0.0408830744071951,0,1,1,5,0.501733632469916,2,-0.31734693877551,5,18,7.8078,1,0,-2.5048,0,"Other/Multiracial/Unknown","With family (commuting)","Female",0,-0.2402,45,1,3.3,2.75274,2.75274,9,0.4,1.4,2,NA,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,1,2,2,23,2,7,1,8,"Multiracial Bridge-Builder","FASt_12plus"
0,8,1.47774601878318,6,7,0.959116925592805,0,1,1,NA,NA,3,0.68265306122449,6,23,12.8078,1,0,-2.5048,0,"Other/Multiracial/Unknown","With family (commuting)","Female",0,-0.2402,0,0,-1.2,-1.74726,0,-3,-0.8,0.2,3,4,3,2,2,1,2,1,3,3,3,3,4,2,3,4,NA,4,4,4,3,5,5,5,5,5,3,1,1,2,24,0,3,1,8,"Multiracial Bridge-Builder","non_DE"
1,5,-1.52225398121682,6,7,0.959116925592805,1,0,0,3,-1.49826636753008,2,-0.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"White","Off-campus (rent/apartment)","Female",0,-0.2402,0,0,-1.2,-1.74726,0,-5,-1,0,3,3,3,3,4,4,3,4,2,2,2,2,3,2,2,4,5,4,4,4,4,4,4,4,NA,5,2,2,3,2,25,0,1,0,13,"White Working-Class Striver","non_DE"
1,7,0.477746018783177,7,6,-0.0408830744071951,0,0,1,3,-1.49826636753008,3,0.68265306122449,5,18,7.8078,4,13,10.4952,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7598,41,1,2.9,2.35274,2.35274,19,1.4,2.4,3,3,3,3,4,4,3,4,2,2,2,2,2,2,2,5,5,5,5,NA,5,3,3,3,3,3,3,2,1,2,26,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,5,-1.52225398121682,6,8,1.9591169255928,1,1,0,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,32,1,2,1.45274,1.45274,9,0.4,1.4,4,4,4,4,4,3,3,3,3,2,3,3,3,4,4,2,3,2,2,3,2,7,7,6,7,7,3,2,2,2,27,2,6,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,7,0.477746018783177,6,8,1.9591169255928,1,0,0,3,-1.49826636753008,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7598,1,0,-1.1,-1.64726,0,16,1.1,2.1,3,4,3,2,2,2,3,2,3,3,3,3,3,4,4,5,4,4,4,5,NA,6,6,6,7,6,3,2,3,2,28,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,5,-1.52225398121682,7,7,0.959116925592805,1,0,0,4,-0.498266367530084,2,-0.31734693877551,3,8,-2.1922,4,13,10.4952,0,"White","Off-campus (rent/apartment)","Male",0,-0.2402,1,0,-1.1,-1.64726,0,-3,-0.8,0.2,2,2,2,3,2,3,2,3,3,2,3,3,2,2,2,4,4,4,4,4,4,3,3,NA,3,NA,2,2,2,2,29,1,2,1,7,"White Off-Campus Working","non_FASt_1_11"
1,8,1.47774601878318,7,5,-1.0408830744072,0,1,1,4,-0.498266367530084,2,-0.31734693877551,6,23,12.8078,1,0,-2.5048,0,"Asian","On-campus (residence hall)","Male",1,0.7598,35,1,2.3,1.75274,1.75274,23,1.8,2.8,2,2,2,4,3,3,3,3,4,4,4,4,4,3,3,NA,3,3,2,3,3,4,5,5,5,5,2,2,2,3,30,2,5,1,10,"Continuing-Gen Cruiser","FASt_12plus"
0,5,-1.52225398121682,7,5,-1.0408830744072,1,NA,1,4,-0.498266367530084,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,10,0,-0.2,-0.747260000000004,0,-14,-1.9,-0.9,3,3,NA,4,4,3,3,3,3,3,4,3,3,3,3,5,4,5,5,5,4,5,5,5,5,6,2,2,2,2,31,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,5,-1.52225398121682,7,5,-1.0408830744072,1,0,1,3,-1.49826636753008,3,0.68265306122449,4,13,2.8078,1,0,-2.5048,0,"Other/Multiracial/Unknown","With family (commuting)","Male",0,-0.2402,72,1,6,5.45274,5.45274,-12,-1.7,-0.7,3,1,2,3,4,3,3,3,2,2,2,2,2,4,4,3,3,4,4,4,4,5,NA,5,5,5,3,2,3,3,32,2,5,1,8,"Multiracial Bridge-Builder","FASt_12plus"
0,8,1.47774601878318,7,5,-1.0408830744072,1,0,1,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,2,3,0.4952,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2402,24,1,1.2,0.652739999999996,0.652739999999996,3,-0.2,0.8,NA,4,3,3,4,3,3,3,4,4,4,4,4,2,2,3,4,4,4,4,3,5,6,6,5,5,3,1,2,2,33,2,5,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
0,5,-1.52225398121682,7,7,0.959116925592805,0,1,1,3,-1.49826636753008,1,-1.31734693877551,5,18,7.8078,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,11,0,-0.1,-0.647260000000004,0,-13,-1.8,-0.8,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,2,2,NA,2,1,2,5,5,5,5,5,1,2,3,2,34,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.522253981216823,6,5,-1.0408830744072,1,0,1,NA,NA,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,6,0,-0.6,-1.14726,0,-12,-1.7,-0.7,3,3,3,2,2,2,1,2,3,3,3,3,3,3,3,NA,3,4,3,4,4,6,NA,5,5,5,2,1,3,3,35,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11"
0,5,-1.52225398121682,7,8,1.9591169255928,1,1,0,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,13,1,0.1,-0.447260000000004,-0.447260000000004,-13,-1.8,-0.8,3,3,3,2,2,3,3,2,4,3,3,3,3,2,2,4,3,3,3,3,2,5,5,4,5,4,3,3,2,4,36,2,6,1,2,"Latino Off-Campus Working","FASt_12plus"
1,5,-1.52225398121682,7,6,-0.0408830744071951,1,0,0,5,0.501733632469916,1,-1.31734693877551,5,18,7.8078,1,0,-2.5048,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2402,10,0,-0.2,-0.747260000000004,0,23,1.8,2.8,4,4,4,3,3,3,3,3,3,4,4,3,3,3,2,3,2,2,2,3,3,5,5,5,6,NA,1,2,2,2,37,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,5,-1.52225398121682,6,6,-0.0408830744071951,1,0,0,4,-0.498266367530084,2,-0.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"Other/Multiracial/Unknown","With family (commuting)","Male",0,-0.2402,5,0,-0.7,-1.24726,0,14,0.9,1.9,3,4,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,4,4,4,3,5,6,6,6,6,2,1,2,2,38,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11"
1,7,0.477746018783177,7,5,-1.0408830744072,1,0,0,3,-1.49826636753008,1,-1.31734693877551,2,3,-7.1922,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7598,0,0,-1.2,-1.74726,0,23,1.8,2.8,4,4,4,3,3,3,2,3,3,4,3,4,2,4,4,4,4,5,4,5,5,5,5,NA,4,5,1,1,3,2,39,0,1,0,1,"Latina Commuter Caretaker","non_DE"
1,8,1.47774601878318,7,8,1.9591169255928,0,1,0,6,1.50173363246992,2,-0.31734693877551,4,13,2.8078,3,8,5.4952,0,"White","On-campus (residence hall)","Female",0,-0.2402,35,1,2.3,1.75274,1.75274,3,-0.2,0.8,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,1,1,2,1,1,1,7,6,7,6,6,2,1,2,3,40,2,7,1,6,"White Residential Traditional","FASt_12plus"
1,6,-0.522253981216823,7,6,-0.0408830744071951,0,0,1,6,1.50173363246992,2,-0.31734693877551,4,13,2.8078,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,10,0,-0.2,-0.747260000000004,0,-2,-0.7,0.3,3,4,4,3,2,3,2,2,2,2,3,3,3,3,3,4,NA,4,4,4,5,NA,6,6,6,6,2,2,3,2,41,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.477746018783177,7,6,-0.0408830744071951,0,0,0,4,-0.498266367530084,2,-0.31734693877551,5,18,7.8078,3,8,5.4952,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,4,0,-0.8,-1.34726,0,12,0.7,1.7,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,4,3,4,4,4,4,5,5,5,5,5,2,3,2,1,42,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,5,-1.52225398121682,7,5,-1.0408830744072,0,0,0,4,-0.498266367530084,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,9,0,-0.3,-0.847260000000004,0,-4,-0.9,0.1,3,2,2,2,2,2,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,5,6,5,6,5,3,2,2,1,43,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.477746018783177,7,6,-0.0408830744071951,1,0,1,2,-2.49826636753008,1,-1.31734693877551,6,23,12.8078,2,3,0.4952,0,"Asian","With family (commuting)","Male",0,-0.2402,69,1,5.7,5.15274,5.15274,-15,-2,-1,2,2,2,4,3,4,4,3,1,3,1,2,2,2,2,5,5,5,6,5,6,2,3,3,4,3,1,3,2,3,44,2,5,1,3,"Asian High-Pressure Achiever","FASt_12plus"
0,6,-0.522253981216823,5,6,-0.0408830744071951,0,0,0,4,-0.498266367530084,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2402,33,1,2.1,1.55274,1.55274,-7,-1.2,-0.2,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,2,3,2,6,5,6,6,5,2,1,2,3,45,2,7,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,8,1.47774601878318,6,5,-1.0408830744072,0,1,0,7,2.50173363246992,3,0.68265306122449,4,13,2.8078,2,3,0.4952,0,"Asian","With family (commuting)","Female",0,-0.2402,20,1,0.8,0.252739999999996,0.252739999999996,32,2.7,3.7,2,2,2,3,3,3,2,3,3,3,2,3,2,3,3,4,4,4,3,4,4,4,5,5,5,4,3,1,3,3,46,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,6,-0.522253981216823,7,6,-0.0408830744071951,1,0,0,5,0.501733632469916,NA,NA,2,3,-7.1922,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,8,0,-0.4,-0.947260000000004,0,24,1.9,2.9,3,3,4,4,4,3,3,4,3,4,3,4,3,3,2,4,3,3,3,4,3,6,6,NA,6,6,2,3,2,3,47,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,5,-1.52225398121682,7,6,-0.0408830744071951,1,0,1,4,-0.498266367530084,2,-0.31734693877551,4,13,2.8078,1,0,-2.5048,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,22,1,1,0.452739999999996,0.452739999999996,-3,-0.8,0.2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,5,5,5,5,5,5,4,4,4,4,4,2,1,2,2,48,2,4,1,2,"Latino Off-Campus Working","FASt_12plus"
0,5,-1.52225398121682,7,5,-1.0408830744072,0,0,1,2,-2.49826636753008,3,0.68265306122449,4,13,2.8078,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,11,0,-0.1,-0.647260000000004,0,16,1.1,2.1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,3,6,6,6,6,NA,5,5,NA,5,5,5,3,2,2,3,49,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,6,-0.522253981216823,7,6,-0.0408830744071951,1,0,0,2,-2.49826636753008,2,-0.31734693877551,4,13,2.8078,3,8,5.4952,0,"Asian","Off-campus (rent/apartment)","Female",0,-0.2402,54,1,4.2,3.65274,3.65274,23,1.8,2.8,3,3,3,2,2,1,1,2,3,3,3,2,2,2,2,4,NA,4,4,4,NA,4,4,4,4,5,2,2,2,2,50,2,5,1,4,"Asian First-Gen Navigator","FASt_12plus"
1,5,-1.52225398121682,7,7,0.959116925592805,0,0,0,3,-1.49826636753008,2,-0.31734693877551,4,13,2.8078,3,8,5.4952,0,"White","Off-campus (rent/apartment)","Male",0,-0.2402,0,0,-1.2,-1.74726,0,-7,-1.2,-0.2,2,2,3,3,3,2,3,3,2,3,2,3,3,2,2,2,2,2,2,2,2,6,6,5,6,6,2,2,3,2,51,0,3,1,7,"White Off-Campus Working","non_DE"
1,8,1.47774601878318,7,5,-1.0408830744072,0,0,1,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,0,"Asian","With family (commuting)","Male",0,-0.2402,25,1,1.3,0.752739999999996,0.752739999999996,20,1.5,2.5,1,1,2,3,3,3,3,3,3,3,3,3,3,4,3,4,NA,4,4,3,4,5,5,5,6,5,3,3,3,1,52,2,4,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,6,-0.522253981216823,7,5,-1.0408830744072,1,0,0,5,0.501733632469916,2,-0.31734693877551,4,13,2.8078,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,1,0,-1.1,-1.64726,0,-9,-1.4,-0.4,2,3,3,2,3,3,3,3,3,4,3,3,3,3,3,6,6,6,6,6,6,4,4,NA,4,5,2,2,2,2,53,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.477746018783177,7,8,1.9591169255928,0,0,0,4,-0.498266367530084,1,-1.31734693877551,2,3,-7.1922,2,3,0.4952,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,61,1,4.9,4.35274,4.35274,11,0.6,1.6,2,2,2,4,4,4,4,3,4,3,4,3,3,4,4,5,4,4,4,4,4,7,6,6,6,6,1,2,1,3,54,2,4,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
0,5,-1.52225398121682,7,5,-1.0408830744072,0,1,0,3,-1.49826636753008,1,-1.31734693877551,3,8,-2.1922,4,13,10.4952,NA,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,1,0,-1.1,-1.64726,0,27,2.2,3.2,3,3,3,4,3,3,4,3,2,3,2,3,3,3,3,4,4,4,4,4,5,6,5,5,5,5,1,3,2,2,55,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,7,0.477746018783177,7,5,-1.0408830744072,1,0,0,4,-0.498266367530084,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,1,"White","With family (commuting)","Male",1,0.7598,34,1,2.2,1.65274,1.65274,-14,-1.9,-0.9,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,2,3,3,3,3,3,NA,3,2,2,1,56,2,4,1,11,"White Rural First-Gen","FASt_12plus"
0,7,0.477746018783177,7,5,-1.0408830744072,0,1,0,6,1.50173363246992,2,-0.31734693877551,2,3,-7.1922,3,8,5.4952,0,"Asian","With family (commuting)","Female",0,-0.2402,11,0,-0.1,-0.647260000000004,0,11,0.6,1.6,3,3,3,2,2,3,2,2,3,2,3,2,2,3,2,5,5,5,NA,5,5,5,6,6,6,6,2,3,1,2,57,1,1,0,3,"Asian High-Pressure Achiever","non_FASt_1_11"
