"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","firstgen","re_all","living18","sex","StemMaj","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
0,7,0.4734,7,6,-0.0654000000000003,1,0,0,3,-1.476,2,-0.2938,1,"Hispanic/Latino","With family (commuting)","Female",0,8,0,-0.4,-1.03398,0,5,0,1,2,3,2,2,3,3,2,3,2,3,3,3,3,3,3,5,5,6,6,5,6,3,NA,3,3,2,2,2,1,2,18,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.4734,7,6,-0.0654000000000003,1,0,0,6,1.524,2,-0.2938,0,"Asian","Off-campus (rent/apartment)","Male",0,5,0,-0.7,-1.33398,0,25,2,3,3,2,2,3,2,2,3,3,3,2,3,3,3,3,3,NA,5,4,4,4,NA,3,4,4,4,4,2,2,2,3,19,1,2,1,4,"Asian First-Gen Navigator","non_FASt_1_11"
1,6,-0.5266,6,6,-0.0654000000000003,1,0,1,5,0.524,2,-0.2938,0,"White","Off-campus (rent/apartment)","Female",0,10,0,-0.2,-0.833980000000005,0,-2,-0.7,0.3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,4,3,4,4,NA,5,5,2,2,2,3,20,1,1,0,7,"White Off-Campus Working","non_FASt_1_11"
0,8,1.4734,7,7,0.9346,0,0,0,3,-1.476,2,-0.2938,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,7,0,-0.5,-1.13398,0,-13,-1.8,-0.8,3,3,3,3,3,3,4,4,3,3,2,3,3,3,3,1,2,NA,1,1,2,5,5,6,5,5,2,3,3,2,21,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.5266,7,8,1.9346,0,0,0,3,-1.476,3,0.7062,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,6,0,-0.6,-1.23398,0,-5,-1,0,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,2,2,3,3,3,2,NA,6,5,5,6,3,2,3,2,22,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,7,0.4734,7,6,-0.0654000000000003,1,0,0,4,-0.476,3,0.7062,0,"Other/Multiracial/Unknown","With family (commuting)","Female",0,11,0,-0.1,-0.733980000000005,0,6,0.1,1.1,4,4,4,3,3,3,3,4,3,4,3,3,3,4,4,2,2,2,2,3,3,NA,6,6,6,6,3,3,2,2,23,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11"
0,7,0.4734,7,8,1.9346,1,0,0,4,-0.476,3,0.7062,0,"White","Off-campus (rent/apartment)","Female",0,21,1,0.9,0.266019999999995,0.266019999999995,16,1.1,2.1,3,3,3,3,2,3,3,2,1,1,1,2,1,3,3,4,4,4,4,4,3,5,4,5,4,5,3,3,2,2,24,2,6,1,7,"White Off-Campus Working","FASt_12plus"
1,6,-0.5266,7,5,-1.0654,1,0,0,5,0.524,3,0.7062,1,"White","Off-campus (rent/apartment)","Female",0,10,0,-0.2,-0.833980000000005,0,-13,-1.8,-0.8,4,3,3,4,3,4,4,4,2,2,1,2,2,2,2,3,3,4,3,2,3,5,4,4,4,4,3,2,2,3,25,1,1,0,7,"White Off-Campus Working","non_FASt_1_11"
1,8,1.4734,7,6,-0.0654000000000003,1,1,0,7,2.524,3,0.7062,1,"White","Off-campus (rent/apartment)","Female",0,4,0,-0.8,-1.43398,0,15,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,4,4,4,5,4,4,4,3,4,4,3,3,1,4,3,26,1,3,1,13,"White Working-Class Striver","non_FASt_1_11"
1,6,-0.5266,7,5,-1.0654,0,0,1,2,-2.476,3,0.7062,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,8,0,-0.4,-1.03398,0,17,1.2,2.2,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,4,3,3,4,NA,4,5,6,6,6,6,3,1,2,1,27,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,7,0.4734,7,5,-1.0654,1,0,0,6,1.524,2,-0.2938,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,24,1,1.2,0.566019999999995,0.566019999999995,-4,-0.9,0.1,3,3,3,3,3,2,3,2,3,3,2,3,2,3,3,5,5,4,5,5,5,7,6,6,6,6,2,2,3,2,28,2,7,1,2,"Latino Off-Campus Working","FASt_12plus"
0,7,0.4734,7,6,-0.0654000000000003,1,0,1,3,-1.476,4,1.7062,1,"Hispanic/Latino","With family (commuting)","Female",0,11,0,-0.1,-0.733980000000005,0,19,1.4,2.4,3,2,3,3,3,2,2,3,3,3,2,3,3,3,2,6,6,6,6,6,5,5,5,4,5,4,4,2,4,1,29,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.4734,7,6,-0.0654000000000003,0,0,1,4,-0.476,3,0.7062,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",1,20,1,0.8,0.166019999999996,0.166019999999996,23,1.8,2.8,2,3,2,2,2,2,2,2,3,2,2,2,3,3,3,2,3,3,3,3,2,5,NA,4,NA,4,3,3,3,1,30,2,6,1,2,"Latino Off-Campus Working","FASt_12plus"
1,6,-0.5266,7,7,0.9346,1,0,1,2,-2.476,3,0.7062,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,13,1,0.1,-0.533980000000005,-0.533980000000005,-3,-0.8,0.2,4,3,3,3,3,4,3,3,4,4,4,3,4,3,3,5,4,5,5,5,3,7,7,7,7,7,3,2,2,2,31,2,6,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,7,0.4734,6,5,-1.0654,1,1,1,5,0.524,3,0.7062,1,"Hispanic/Latino","With family (commuting)","Female",0,10,0,-0.2,-0.833980000000005,0,12,0.7,1.7,3,4,4,3,2,3,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,NA,3,3,3,2,32,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,6,-0.5266,6,8,1.9346,0,0,1,5,0.524,1,-1.2938,1,"White","With family (commuting)","Male",1,16,1,0.4,-0.233980000000005,-0.233980000000005,1,-0.4,0.6,2,2,2,3,2,2,2,3,3,2,4,3,3,3,3,5,5,4,5,5,5,6,5,5,6,6,1,3,3,2,33,2,6,1,11,"White Rural First-Gen","FASt_12plus"
1,8,1.4734,7,7,0.9346,1,0,0,4,-0.476,3,0.7062,0,"Asian","With family (commuting)","Male",1,15,1,0.3,-0.333980000000005,-0.333980000000005,22,1.7,2.7,2,2,1,3,3,3,4,3,4,3,2,3,3,3,3,5,NA,5,5,5,4,6,6,6,7,6,3,2,2,3,34,2,5,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,8,1.4734,7,5,-1.0654,0,0,1,5,0.524,2,-0.2938,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,9,0,-0.3,-0.933980000000004,0,-14,-1.9,-0.9,3,4,3,4,4,3,3,4,4,4,3,4,4,2,3,4,4,4,4,4,3,5,5,4,5,4,2,2,3,3,35,1,3,1,2,"Latino Off-Campus Working","non_FASt_1_11"
1,5,-1.5266,7,7,0.9346,1,0,1,4,-0.476,4,1.7062,1,"White","With family (commuting)","Female",0,9,0,-0.3,-0.933980000000004,0,18,1.3,2.3,2,2,2,3,3,3,4,4,3,2,3,2,2,2,2,4,4,4,NA,4,4,1,1,1,1,1,4,2,3,3,36,1,1,0,11,"White Rural First-Gen","non_FASt_1_11"
0,7,0.4734,7,7,0.9346,1,1,0,3,-1.476,2,-0.2938,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,0,0,-1.2,-1.83398,0,-4,-0.9,0.1,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,6,6,6,6,7,2,3,3,1,37,0,2,1,9,"Hispanic On-Campus Transitioner","non_DE"
0,7,0.4734,7,5,-1.0654,0,1,0,5,0.524,4,1.7062,0,"Hispanic/Latino","On-campus (residence hall)","Female",1,6,0,-0.6,-1.23398,0,12,0.7,1.7,2,2,2,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,5,6,5,5,6,4,3,1,2,38,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.4734,7,8,1.9346,0,1,1,3,-1.476,1,-1.2938,0,"White","Off-campus (rent/apartment)","Male",0,6,0,-0.6,-1.23398,0,-5,-1,0,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,2,6,7,7,7,7,1,2,2,3,39,1,1,0,10,"Continuing-Gen Cruiser","non_FASt_1_11"
1,5,-1.5266,6,6,-0.0654000000000003,1,0,0,5,0.524,2,-0.2938,1,"Hispanic/Latino","With family (commuting)","Female",0,2,0,-1,-1.63398,0,24,1.9,2.9,3,2,2,3,3,4,3,3,4,4,3,4,4,3,3,4,3,3,3,3,3,7,7,NA,7,7,2,2,3,1,40,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,6,-0.5266,6,7,0.9346,1,1,0,4,-0.476,4,1.7062,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",1,28,1,1.6,0.966019999999996,0.966019999999996,-9,-1.4,-0.4,4,4,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,5,6,NA,5,5,4,2,4,3,41,2,4,1,2,"Latino Off-Campus Working","FASt_12plus"
0,5,-1.5266,7,6,-0.0654000000000003,1,0,1,3,-1.476,2,-0.2938,1,"White","With family (commuting)","Female",1,1,0,-1.1,-1.73398,0,-8,-1.3,-0.3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,2,4,3,4,4,4,2,2,2,4,42,1,1,0,11,"White Rural First-Gen","non_FASt_1_11"
0,5,-1.5266,6,7,0.9346,0,0,1,7,2.524,3,0.7062,0,"White","Off-campus (rent/apartment)","Female",1,0,0,-1.2,-1.83398,0,-4,-0.9,0.1,3,3,3,3,3,3,3,3,2,2,1,2,1,2,2,NA,3,4,NA,3,4,5,5,5,4,5,3,1,3,3,43,0,1,0,13,"White Working-Class Striver","non_DE"
0,8,1.4734,7,6,-0.0654000000000003,0,0,1,4,-0.476,4,1.7062,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,37,1,2.5,1.86602,1.86602,-1,-0.6,0.4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,NA,5,4,5,5,5,5,5,5,NA,5,4,2,2,1,44,2,7,1,2,"Latino Off-Campus Working","FASt_12plus"
0,5,-1.5266,7,8,1.9346,1,0,1,4,-0.476,2,-0.2938,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,13,1,0.1,-0.533980000000005,-0.533980000000005,-4,-0.9,0.1,3,3,3,2,2,3,3,2,3,3,3,3,3,2,2,5,4,4,4,4,5,4,4,4,5,4,2,2,2,3,45,2,5,1,2,"Latino Off-Campus Working","FASt_12plus"
1,5,-1.5266,6,6,-0.0654000000000003,0,0,0,6,1.524,1,-1.2938,1,"Hispanic/Latino","With family (commuting)","Female",0,23,1,1.1,0.466019999999996,0.466019999999996,15,1,2,3,3,2,2,2,2,1,2,2,2,2,3,2,3,3,5,5,5,5,5,5,4,4,4,5,4,1,3,1,3,46,2,5,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,7,0.4734,7,6,-0.0654000000000003,0,0,0,6,1.524,3,0.7062,0,"Other/Multiracial/Unknown","With family (commuting)","Male",0,0,0,-1.2,-1.83398,0,23,1.8,2.8,4,3,3,3,4,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,5,5,4,4,5,3,2,2,3,47,0,2,1,8,"Multiracial Bridge-Builder","non_DE"
0,7,0.4734,7,7,0.9346,1,0,0,2,-2.476,3,0.7062,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,8,0,-0.4,-1.03398,0,-14,-1.9,-0.9,3,3,3,3,3,3,3,3,4,3,4,3,2,3,3,3,3,3,2,3,4,5,5,6,5,6,3,2,3,3,48,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.5266,7,8,1.9346,0,1,0,4,-0.476,2,-0.2938,0,"Hispanic/Latino","On-campus (residence hall)","Male",1,80,1,6.8,6.16602,6.16602,-5,-1,0,2,2,2,3,3,3,4,3,2,3,3,2,3,3,3,5,4,NA,5,4,4,4,4,4,NA,4,2,1,2,2,49,2,4,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,6,-0.5266,6,6,-0.0654000000000003,1,0,1,3,-1.476,2,-0.2938,0,"Black/African American","On-campus (residence hall)","Female",0,5,0,-0.7,-1.33398,0,4,-0.1,0.9,2,3,3,3,3,3,3,2,2,2,3,3,2,4,3,2,2,2,3,2,2,4,4,4,3,3,2,3,3,3,50,1,3,1,5,"Black Campus Connector","non_FASt_1_11"
1,7,0.4734,7,7,0.9346,1,0,0,5,0.524,2,-0.2938,0,"White","Off-campus (rent/apartment)","Male",0,31,1,1.9,1.26602,1.26602,-13,-1.8,-0.8,2,2,2,3,3,3,2,3,3,3,3,2,3,2,2,3,4,4,4,4,NA,4,4,4,4,4,2,1,3,2,51,2,5,1,7,"White Off-Campus Working","FASt_12plus"
1,7,0.4734,6,6,-0.0654000000000003,0,1,0,6,1.524,1,-1.2938,0,"White","On-campus (residence hall)","Female",1,31,1,1.9,1.26602,1.26602,25,2,3,3,4,3,3,4,4,4,4,3,3,3,3,3,3,3,NA,2,2,1,1,NA,7,7,7,7,7,1,2,2,2,52,2,7,1,6,"White Residential Traditional","FASt_12plus"
0,7,0.4734,7,7,0.9346,0,0,1,6,1.524,1,-1.2938,0,"White","On-campus (residence hall)","Male",0,35,1,2.3,1.66602,1.66602,13,0.8,1.8,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,NA,7,7,7,7,7,1,3,3,3,53,2,6,1,6,"White Residential Traditional","FASt_12plus"
1,6,-0.5266,7,5,-1.0654,1,0,0,6,1.524,2,-0.2938,1,"Hispanic/Latino","With family (commuting)","Female",0,16,1,0.4,-0.233980000000005,-0.233980000000005,13,0.8,1.8,2,2,2,3,3,3,3,3,4,4,4,4,4,2,2,4,4,3,4,4,3,5,5,5,6,5,2,2,2,2,54,2,4,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,7,0.4734,7,6,-0.0654000000000003,1,0,0,4,-0.476,2,-0.2938,1,"White","With family (commuting)","Female",0,3,0,-0.9,-1.53398,0,-5,-1,0,3,3,3,3,4,3,4,4,3,2,2,3,2,3,3,3,3,4,3,4,3,3,NA,3,3,3,2,4,3,1,55,1,3,1,11,"White Rural First-Gen","non_FASt_1_11"
1,6,-0.5266,7,6,-0.0654000000000003,0,0,0,3,-1.476,1,-1.2938,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,2,0,-1,-1.63398,0,8,0.3,1.3,3,3,3,3,3,3,2,3,3,2,3,3,2,4,4,4,3,4,4,3,3,5,6,5,5,5,1,1,2,3,56,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,7,0.4734,7,5,-1.0654,1,1,0,6,1.524,3,0.7062,0,"Asian","Off-campus (rent/apartment)","Female",0,0,0,-1.2,-1.83398,0,-6,-1.1,-0.1,2,2,1,3,2,3,3,3,2,2,2,2,2,3,2,NA,NA,5,5,5,5,4,4,3,3,3,3,3,3,2,57,0,3,1,4,"Asian First-Gen Navigator","non_DE"
0,7,0.4734,7,6,-0.0654000000000003,1,0,1,5,0.524,1,-1.2938,0,"White","Off-campus (rent/apartment)","Male",0,5,0,-0.7,-1.33398,0,28,2.3,3.3,2,2,2,3,3,3,3,3,2,2,2,2,3,3,2,4,4,3,3,4,4,6,6,6,6,6,1,2,4,2,58,1,2,1,7,"White Off-Campus Working","non_FASt_1_11"
1,5,-1.5266,6,8,1.9346,0,0,0,3,-1.476,2,-0.2938,1,"Other/Multiracial/Unknown","With family (commuting)","Male",0,3,0,-0.9,-1.53398,0,10,0.5,1.5,4,4,4,3,4,4,4,4,3,3,3,3,3,4,4,3,3,3,NA,4,4,7,7,6,7,7,2,2,3,1,59,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11"
1,6,-0.5266,7,6,-0.0654000000000003,1,1,0,3,-1.476,3,0.7062,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,5,0,-0.7,-1.33398,0,-2,-0.7,0.3,4,3,3,3,3,3,3,4,3,4,4,4,3,4,4,3,1,2,2,2,1,7,6,7,7,7,3,2,2,1,60,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.5266,7,5,-1.0654,1,0,0,5,0.524,2,-0.2938,0,"White","Off-campus (rent/apartment)","Female",0,1,0,-1.1,-1.73398,0,-13,-1.8,-0.8,3,3,3,4,3,3,3,3,2,2,2,1,2,2,2,4,4,4,4,4,4,4,5,5,NA,4,2,2,1,2,61,1,2,1,13,"White Working-Class Striver","non_FASt_1_11"
0,6,-0.5266,7,6,-0.0654000000000003,1,0,0,4,-0.476,4,1.7062,1,"White","Off-campus (rent/apartment)","Male",0,35,1,2.3,1.66602,1.66602,3,-0.2,0.8,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,6,5,5,5,5,NA,5,4,5,5,5,4,3,3,1,62,2,7,1,13,"White Working-Class Striver","FASt_12plus"
1,8,1.4734,7,5,-1.0654,0,0,0,6,1.524,2,-0.2938,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,9,0,-0.3,-0.933980000000004,0,12,0.7,1.7,4,4,3,3,3,3,3,3,3,2,2,3,2,3,3,NA,3,3,3,3,2,6,6,6,NA,6,2,1,2,2,63,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,8,1.4734,7,5,-1.0654,0,1,1,4,-0.476,1,-1.2938,0,"Asian","With family (commuting)","Male",0,27,1,1.5,0.866019999999995,0.866019999999995,-5,-1,0,2,2,2,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,3,6,7,6,7,6,1,2,4,2,64,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,7,0.4734,7,8,1.9346,0,0,0,3,-1.476,3,0.7062,1,"White","Off-campus (rent/apartment)","Female",0,15,1,0.3,-0.333980000000005,-0.333980000000005,32,2.7,3.7,2,2,2,2,3,4,3,2,3,2,2,3,2,1,2,3,3,3,3,4,3,4,5,4,5,4,3,4,2,2,65,2,6,1,13,"White Working-Class Striver","FASt_12plus"
1,7,0.4734,6,5,-1.0654,1,0,0,4,-0.476,2,-0.2938,0,"Hispanic/Latino","With family (commuting)","Female",1,9,0,-0.3,-0.933980000000004,0,6,0.1,1.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,NA,4,4,2,4,3,4,4,NA,2,3,2,1,66,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,5,-1.5266,7,7,0.9346,1,0,1,4,-0.476,2,-0.2938,1,"Hispanic/Latino","With family (commuting)","Female",0,7,0,-0.5,-1.13398,0,1,-0.4,0.6,3,3,3,3,3,3,3,4,2,2,2,2,2,3,3,4,NA,5,5,4,5,5,5,5,6,6,2,2,2,3,67,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.4734,7,5,-1.0654,0,0,1,4,-0.476,4,1.7062,1,"Asian","With family (commuting)","Female",0,9,0,-0.3,-0.933980000000004,0,0,-0.5,0.5,3,3,2,3,4,4,3,3,3,4,3,3,4,2,2,4,3,4,4,4,4,6,7,7,7,6,4,1,3,2,68,1,2,1,3,"Asian High-Pressure Achiever","non_FASt_1_11"
0,8,1.4734,7,7,0.9346,1,0,1,6,1.524,2,-0.2938,1,"Asian","Off-campus (rent/apartment)","Male",1,32,1,2,1.36602,1.36602,22,1.7,2.7,3,3,3,3,4,3,3,3,3,2,2,2,2,3,2,4,4,4,4,NA,4,4,4,4,4,4,2,1,3,1,69,2,7,1,4,"Asian First-Gen Navigator","FASt_12plus"
