"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hapcl_c","hprecalc13","hprecalc13_c","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","hacadpr13","hacadpr13_c","tcare","tcare_c","firstgen","re_all","living18","sex","StemMaj","StemMaj_c","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
1,6,-0.527,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,3,-1.488,4,1.699,18,8.2376,0,-2.9496,0,"Asian","With family (commuting)","Female",0,-0.2482,9,0,-0.3,-0.38456,0,23,1.8,2.8,2,3,2,4,4,4,4,4,3,3,3,3,3,3,4,5,4,4,4,NA,4,5,5,5,5,5,11,1,2,1,3,"Asian High-Pressure Achiever","non_FASt_1_11"
0,6,-0.527,7,5,-1.0448,0,0,-0.2468,1,0.6564,3,-1.488,3,0.699,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,38,1,2.6,2.51544,2.51544,32,2.7,3.7,3,3,3,3,3,3,2,3,3,4,4,3,4,3,3,5,5,4,4,4,5,4,3,3,NA,3,12,2,7,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,8,1.473,7,7,0.9552,1,0,-0.2468,1,0.6564,4,-0.488,1,-1.301,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,19,1,0.7,0.61544,0.61544,3,-0.2,0.8,3,3,3,4,4,3,4,4,2,3,2,2,2,2,3,5,4,4,4,4,5,4,3,3,4,3,13,2,5,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,8,1.473,7,6,-0.0448000000000004,1,1,0.7532,0,-0.3436,3,-1.488,2,-0.301,3,-6.7624,3,0.0503999999999998,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,7,0,-0.5,-0.58456,0,5,0,1,3,3,3,4,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,5,5,14,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.527,7,5,-1.0448,1,0,-0.2468,0,-0.3436,2,-2.488,3,0.699,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,13,1,0.1,0.01544,0.01544,27,2.2,3.2,3,2,3,3,4,4,4,4,2,2,2,3,2,3,3,4,NA,5,5,4,5,4,4,5,4,NA,15,2,7,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,6,-0.527,6,7,0.9552,1,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,8,-1.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,18,1,0.6,0.51544,0.51544,4,-0.1,0.9,3,3,3,2,2,2,2,2,3,4,4,4,4,3,2,5,5,5,4,5,4,5,5,5,NA,5,16,2,5,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.488,1,-1.301,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,9,0,-0.3,-0.38456,0,-3,-0.8,0.2,3,3,3,4,4,4,4,4,3,3,3,2,3,3,3,4,5,5,5,5,5,4,4,4,4,3,17,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,6,-0.527,7,5,-1.0448,0,0,-0.2468,0,-0.3436,4,-0.488,1,-1.301,8,-1.7624,3,0.0503999999999998,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,9,0,-0.3,-0.38456,0,2,-0.3,0.7,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,NA,NA,4,4,4,4,4,18,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,2,-2.488,3,0.699,13,3.2376,0,-2.9496,1,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Female",1,0.7518,7,0,-0.5,-0.58456,0,27,2.2,3.2,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,3,4,3,4,4,7,6,6,6,6,19,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11"
1,6,-0.527,7,7,0.9552,1,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,8,-1.7624,0,-2.9496,1,"Asian","Off-campus (rent/apartment)","Female",0,-0.2482,10,0,-0.2,-0.28456,0,14,0.9,1.9,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,5,5,5,5,NA,4,5,5,20,1,2,1,4,"Asian First-Gen Navigator","non_FASt_1_11"
1,7,0.473,7,5,-1.0448,0,0,-0.2468,0,-0.3436,5,0.512,3,0.699,18,8.2376,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,3,0,-0.9,-0.98456,0,21,1.6,2.6,4,4,4,3,3,3,4,3,2,3,2,2,3,3,3,4,3,3,3,3,3,5,5,5,5,5,21,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.473,6,8,1.9552,1,0,-0.2468,1,0.6564,5,0.512,2,-0.301,3,-6.7624,0,-2.9496,1,"Black/African American","On-campus (residence hall)","Female",0,-0.2482,1,0,-1.1,-1.18456,0,-8,-1.3,-0.3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,4,NA,4,4,5,5,5,22,1,1,0,5,"Black Campus Connector","non_FASt_1_11"
1,7,0.473,7,6,-0.0448000000000004,1,0,-0.2468,0,-0.3436,5,0.512,3,0.699,3,-6.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,2,0,-1,-1.08456,0,19,1.4,2.4,3,4,4,3,2,3,3,3,3,2,2,2,2,3,4,4,4,4,5,5,4,6,5,6,6,NA,23,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,6,-0.527,7,7,0.9552,0,0,-0.2468,0,-0.3436,5,0.512,2,-0.301,23,13.2376,3,0.0503999999999998,1,"White","Off-campus (rent/apartment)","Female",0,-0.2482,7,0,-0.5,-0.58456,0,3,-0.2,0.8,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,6,6,6,6,6,6,4,4,4,5,4,24,1,3,1,7,"White Off-Campus Working","non_FASt_1_11"
1,7,0.473,6,5,-1.0448,0,0,-0.2468,1,0.6564,4,-0.488,3,0.699,8,-1.7624,8,5.0504,0,"Asian","With family (commuting)","Female",0,-0.2482,10,0,-0.2,-0.28456,0,28,2.3,3.3,3,3,3,2,2,2,2,3,1,2,2,2,2,1,1,NA,4,5,5,5,4,5,5,5,5,5,25,1,3,1,3,"Asian High-Pressure Achiever","non_FASt_1_11"
1,7,0.473,7,8,1.9552,1,0,-0.2468,0,-0.3436,4,-0.488,1,-1.301,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,3,0,-0.9,-0.98456,0,30,2.5,3.5,3,3,3,3,3,3,4,4,3,3,3,3,2,3,3,NA,4,4,4,4,4,4,4,4,4,5,26,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,5,-1.527,5,6,-0.0448000000000004,1,0,-0.2468,0,-0.3436,5,0.512,3,0.699,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,22,1,1,0.91544,0.91544,8,0.3,1.3,3,3,3,2,2,3,3,2,2,3,2,2,2,3,2,4,4,4,4,4,3,5,5,5,6,5,27,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,7,0.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,3,-1.488,4,1.699,8,-1.7624,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,0,0,-1.2,-1.28456,0,20,1.5,2.5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,5,5,5,4,6,5,6,5,6,28,0,1,0,1,"Latina Commuter Caretaker","non_DE"
1,5,-1.527,7,7,0.9552,0,1,0.7532,1,0.6564,6,1.512,2,-0.301,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,6,0,-0.6,-0.68456,0,19,1.4,2.4,3,3,3,2,2,2,3,3,2,2,3,2,2,4,4,5,NA,5,5,5,4,4,4,4,4,3,29,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.473,7,6,-0.0448000000000004,0,1,0.7532,0,-0.3436,6,1.512,2,-0.301,3,-6.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,40,1,2.8,2.71544,2.71544,9,0.4,1.4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,4,4,4,NA,4,4,5,4,5,4,30,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,7,0.473,6,7,0.9552,1,0,-0.2468,1,0.6564,2,-2.488,3,0.699,3,-6.7624,3,0.0503999999999998,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2482,11,0,-0.1,-0.18456,0,12,0.7,1.7,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,NA,4,4,3,4,4,4,4,4,31,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11"
0,6,-0.527,7,5,-1.0448,0,0,-0.2468,1,0.6564,6,1.512,3,0.699,23,13.2376,3,0.0503999999999998,1,"Asian","With family (commuting)","Male",0,-0.2482,13,1,0.1,0.01544,0.01544,17,1.2,2.2,2,2,2,4,3,4,3,4,3,2,3,3,3,3,3,NA,4,NA,5,5,4,NA,4,4,NA,4,32,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,7,0.473,7,6,-0.0448000000000004,1,1,0.7532,0,-0.3436,5,0.512,3,0.699,18,8.2376,13,10.0504,1,"White","With family (commuting)","Male",1,0.7518,5,0,-0.7,-0.78456,0,-13,-1.8,-0.8,1,2,1,3,3,2,3,2,2,1,1,2,1,4,3,4,3,3,3,3,3,6,6,NA,6,6,33,1,1,0,11,"White Rural First-Gen","non_FASt_1_11"
1,7,0.473,7,5,-1.0448,1,0,-0.2468,1,0.6564,4,-0.488,3,0.699,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,11,0,-0.1,-0.18456,0,-11,-1.6,-0.6,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,6,6,5,6,34,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,5,-1.527,7,6,-0.0448000000000004,1,0,-0.2468,0,-0.3436,3,-1.488,1,-1.301,13,3.2376,3,0.0503999999999998,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,8,0,-0.4,-0.48456,0,16,1.1,2.1,3,2,3,3,4,4,4,4,3,2,3,3,3,3,3,4,4,4,3,4,4,NA,6,6,7,6,35,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.473,7,5,-1.0448,1,0,-0.2468,1,0.6564,3,-1.488,1,-1.301,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2482,56,1,4.4,4.31544,4.31544,17,1.2,2.2,2,2,2,2,3,3,3,3,2,2,1,2,2,2,2,3,3,3,3,3,4,7,7,7,6,NA,36,2,4,1,2,"Latino Off-Campus Working","FASt_12plus"
1,7,0.473,7,8,1.9552,1,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,8,-1.7624,13,10.0504,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2482,7,0,-0.5,-0.58456,0,14,0.9,1.9,2,2,2,2,1,2,1,2,4,4,3,4,3,2,1,4,5,5,5,5,5,6,5,5,5,5,37,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11"
0,7,0.473,7,7,0.9552,0,1,0.7532,1,0.6564,5,0.512,2,-0.301,18,8.2376,0,-2.9496,0,"Asian","Off-campus (rent/apartment)","Female",0,-0.2482,11,0,-0.1,-0.18456,0,28,2.3,3.3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,NA,4,5,5,5,5,6,NA,NA,6,6,38,1,2,1,10,"Continuing-Gen Cruiser","non_FASt_1_11"
1,8,1.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,6,1.512,2,-0.301,8,-1.7624,8,5.0504,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",1,0.7518,9,0,-0.3,-0.38456,0,15,1,2,3,3,3,3,2,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,5,6,5,5,6,5,39,1,1,0,2,"Latino Off-Campus Working","non_FASt_1_11"
0,5,-1.527,7,5,-1.0448,1,0,-0.2468,0,-0.3436,5,0.512,2,-0.301,3,-6.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,6,0,-0.6,-0.68456,0,16,1.1,2.1,2,2,2,4,4,4,4,4,4,3,3,4,4,3,3,NA,4,4,NA,4,4,5,5,4,4,NA,40,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.473,7,5,-1.0448,0,1,0.7532,0,-0.3436,5,0.512,2,-0.301,3,-6.7624,3,0.0503999999999998,1,"Other/Multiracial/Unknown","With family (commuting)","Male",0,-0.2482,0,0,-1.2,-1.28456,0,3,-0.2,0.8,2,2,2,3,3,3,2,2,2,3,3,2,3,2,3,4,4,4,4,4,4,5,5,5,5,5,41,0,2,1,8,"Multiracial Bridge-Builder","non_DE"
0,8,1.473,7,7,0.9552,0,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,8,-1.7624,18,15.0504,0,"White","On-campus (residence hall)","Female",0,-0.2482,3,0,-0.9,-0.98456,0,3,-0.2,0.8,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,2,2,NA,NA,2,2,6,6,7,6,6,42,1,1,0,6,"White Residential Traditional","non_FASt_1_11"
0,6,-0.527,6,7,0.9552,0,0,-0.2468,1,0.6564,4,-0.488,1,-1.301,13,3.2376,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,7,0,-0.5,-0.58456,0,27,2.2,3.2,3,3,3,3,4,3,3,4,4,4,4,4,4,4,3,2,2,2,2,2,1,6,5,5,6,5,43,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,5,-1.527,7,5,-1.0448,0,1,0.7532,0,-0.3436,6,1.512,3,0.699,28,18.2376,3,0.0503999999999998,1,"Black/African American","On-campus (residence hall)","Female",0,-0.2482,9,0,-0.3,-0.38456,0,24,1.9,2.9,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,NA,NA,3,NA,4,NA,5,5,5,5,6,44,1,2,1,5,"Black Campus Connector","non_FASt_1_11"
1,7,0.473,7,5,-1.0448,0,0,-0.2468,1,0.6564,5,0.512,3,0.699,3,-6.7624,3,0.0503999999999998,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2482,11,0,-0.1,-0.18456,0,-9,-1.4,-0.4,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,4,3,3,3,3,3,5,6,5,5,5,45,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11"
0,8,1.473,7,6,-0.0448000000000004,0,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,4,0,-0.8,-0.88456,0,12,0.7,1.7,1,1,1,3,3,4,4,4,3,2,4,2,3,2,3,4,3,3,4,3,5,5,NA,NA,4,3,46,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,8,1.473,7,8,1.9552,0,0,-0.2468,0,-0.3436,1,-3.488,2,-0.301,3,-6.7624,3,0.0503999999999998,0,"Other/Multiracial/Unknown","On-campus (residence hall)","Female",0,-0.2482,0,0,-1.2,-1.28456,0,4,-0.1,0.9,2,2,2,3,2,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,3,4,5,4,5,4,47,0,1,0,8,"Multiracial Bridge-Builder","non_DE"
0,6,-0.527,7,5,-1.0448,0,0,-0.2468,1,0.6564,3,-1.488,2,-0.301,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,7,0,-0.5,-0.58456,0,6,0.1,1.1,3,2,2,4,4,4,4,4,3,3,3,3,3,4,4,5,4,4,4,4,3,5,6,5,6,4,48,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,7,0.473,7,6,-0.0448000000000004,0,1,0.7532,0,-0.3436,5,0.512,2,-0.301,8,-1.7624,0,-2.9496,0,"Asian","With family (commuting)","Male",1,0.7518,6,0,-0.6,-0.68456,0,-5,-1,0,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,6,6,NA,6,6,6,4,4,4,5,5,49,1,1,0,3,"Asian High-Pressure Achiever","non_FASt_1_11"
0,5,-1.527,6,6,-0.0448000000000004,1,0,-0.2468,0,-0.3436,3,-1.488,3,0.699,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,7,0,-0.5,-0.58456,0,22,1.7,2.7,3,4,3,3,4,4,4,3,3,2,3,3,3,3,3,6,NA,5,6,6,5,5,5,5,5,4,50,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,6,-0.527,7,6,-0.0448000000000004,0,1,0.7532,0,-0.3436,5,0.512,4,1.699,13,3.2376,0,-2.9496,1,"Asian","With family (commuting)","Female",1,0.7518,24,1,1.2,1.11544,1.11544,28,2.3,3.3,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,5,5,5,6,5,51,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus"
0,7,0.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,6,1.512,2,-0.301,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,70,1,5.8,5.71544,5.71544,10,0.5,1.5,3,4,3,3,3,3,4,4,2,2,2,2,2,3,3,5,5,5,5,NA,4,4,3,3,4,4,52,2,7,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,6,-0.527,7,5,-1.0448,1,0,-0.2468,0,-0.3436,3,-1.488,3,0.699,3,-6.7624,0,-2.9496,1,"White","Off-campus (rent/apartment)","Female",0,-0.2482,11,0,-0.1,-0.18456,0,-9,-1.4,-0.4,3,3,2,2,2,2,2,1,3,2,2,3,2,3,3,3,3,3,3,3,NA,4,4,NA,4,4,53,1,1,0,7,"White Off-Campus Working","non_FASt_1_11"
1,6,-0.527,7,5,-1.0448,1,0,-0.2468,0,-0.3436,3,-1.488,4,1.699,13,3.2376,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,12,1,0,-0.08456,-0.08456,-1,-0.6,0.4,2,2,2,4,3,4,3,3,3,3,2,3,3,2,2,5,NA,5,5,5,4,NA,3,4,3,NA,54,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,5,-1.527,7,5,-1.0448,0,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,3,-6.7624,3,0.0503999999999998,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,2,0,-1,-1.08456,0,31,2.6,3.6,3,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,3,3,3,3,3,5,5,5,NA,5,55,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.473,6,5,-1.0448,1,0,-0.2468,0,-0.3436,5,0.512,3,0.699,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,11,0,-0.1,-0.18456,0,-2,-0.7,0.3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,5,5,5,4,56,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.473,7,5,-1.0448,0,0,-0.2468,1,0.6564,6,1.512,2,-0.301,13,3.2376,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,32,1,2,1.91544,1.91544,6,0.1,1.1,2,2,2,3,3,3,3,3,1,2,2,2,2,3,3,6,6,6,6,6,6,5,NA,6,5,5,57,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,13,3.2376,0,-2.9496,1,"Asian","With family (commuting)","Female",0,-0.2482,63,1,5.1,5.01544,5.01544,-6,-1.1,-0.1,4,3,4,3,3,4,4,3,3,2,2,3,3,3,3,NA,4,4,4,4,4,4,4,4,4,4,58,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,6,-0.527,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,5,0.512,2,-0.301,3,-6.7624,3,0.0503999999999998,1,"Hispanic/Latino","On-campus (residence hall)","Female",1,0.7518,8,0,-0.4,-0.48456,0,7,0.2,1.2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,4,3,5,5,5,5,5,59,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,7,0.473,7,6,-0.0448000000000004,1,0,-0.2468,1,0.6564,4,-0.488,1,-1.301,8,-1.7624,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,34,1,2.2,2.11544,2.11544,18,1.3,2.3,4,4,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,4,60,2,7,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
0,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,7,2.512,2,-0.301,3,-6.7624,0,-2.9496,0,"Asian","With family (commuting)","Female",0,-0.2482,0,0,-1.2,-1.28456,0,-13,-1.8,-0.8,3,3,3,4,4,3,3,4,3,3,2,2,3,3,3,5,4,NA,5,5,5,6,6,6,6,6,61,0,3,1,3,"Asian High-Pressure Achiever","non_DE"
